facility_type,area_type,counted_links,total_daily_count
Arterial,Downtown,106,1391478
Arterial,Rural,545,2994329
Arterial,Suburban,643,6368500
Arterial,Urban,278,3479940
Collector,Downtown,53,421200
Collector,Rural,460,899101
Collector,Suburban,262,1230510
Collector,Urban,83,562896
Freeway,Downtown,39,2059300
Freeway,Rural,92,2586100
Freeway,Suburban,122,4900914
Freeway,Urban,109,5170534
Local,Downtown,72,316600
Local,Rural,267,338400
Local,Suburban,96,324500
Local,Urban,44,228000
MLHighway,Rural,75,1080862
MLHighway,Suburban,43,1105504
MLHighway,Urban,8,153300
MajorArterial,Downtown,229,4967200
MajorArterial,Rural,61,1365550
MajorArterial,Suburban,267,6254200
MajorArterial,Urban,322,7687016
MajorCollector,Downtown,16,96300
MajorCollector,Rural,142,526510
MajorCollector,Suburban,92,665400
MajorCollector,Urban,32,289300
Ramp,Rural,1,1500
Ramp,Suburban,2,29600
Ramp,Urban,2,13300
TLHighway,Rural,77,629349
TLHighway,Suburban,19,236500
