origin_district\dest,Cary,Chapel Hill,Durham,Garner,NoPolygon,Northeast,Northwest,RTP,Raleigh,South,Southeast,Southern Durham,Southwest,total
Cary,11968,963,2494,1465,1602,1268,141,3187,14039,1012,583,2777,149,41648
Chapel Hill,1569,1546,1384,113,489,258,276,998,2118,76,28,1340,110,10305
Durham,2391,852,4150,166,796,768,424,1698,3473,108,28,2092,33,16978
Garner,3107,184,523,1129,635,707,12,737,6882,418,750,600,15,15699
NoPolygon,3284,956,1953,628,1045,867,304,1405,5671,571,1127,1663,98,19573
Northeast,5842,781,3044,1212,1738,7477,239,2565,18488,384,1383,2529,40,45723
Northwest,1965,1378,3549,122,817,688,1949,1381,2750,88,15,1893,75,16671
RTP,302,54,136,28,55,53,11,154,373,18,11,140,4,1339
Raleigh,8900,767,2306,1928,1820,3575,89,2792,24907,616,1232,2521,42,51495
South,4912,372,925,995,1102,531,50,1239,6296,1437,864,1042,84,19848
Southeast,5802,349,1026,2494,1990,2397,28,1443,15680,1361,6407,1174,26,40177
Southern Durham,5414,1535,3838,508,1304,1280,410,2780,7384,322,189,3392,120,28477
Southwest,1057,573,443,87,216,110,87,405,1080,100,20,492,149,4820
total,56513,10311,25771,10876,13610,19978,4019,20784,109140,6511,12638,21654,946,312753
